;Торговая точка;Торговая точка COD;Торговая точка GUID;Адрес
712;"РОЗТЕХ 27 ООО Магазин ""Амбар"" (Хабаровск г, Уборевича ул, дом 52)";УП-00103419;C560044B-B7F0-11E8-8102-44A8422A0502;680054, Хабаровский край, Хабаровск г, Уборевича ул, дом № 52
714;"РОЗТЕХ 27 ООО Магазин ""Амбар"" (Хабаровск г, Карла Маркса ул, дом 145А)";УП-00107367;61CB3EF8-5666-11E9-8109-44A8422A0502;680031, Хабаровский край, Хабаровск г, Карла Маркса ул, дом № 145А
715;"РОЗТЕХ 27 ООО Магазин ""Амбар"" (Хабаровск г, Тихоокеанская ул, дом 47Б)";УП-00103439;0D6E898E-BA43-11E8-8105-44A8422A0502;680011, Хабаровский край, Хабаровск г, Тихоокеанская ул, дом № 47Б
716;"РОЗТЕХ 27 ООО Магазин ""Амбар"" (Хабаровск г, Морозова Павла Леонтьевича ул, дом 53Б)";УП-00107368;F1DCFF15-5666-11E9-8109-44A8422A0502;680023, Хабаровский край, Хабаровск г, Морозова Павла Леонтьевича ул, дом № 53Б
722;Дилан (Хабаровск г, Шелеста ул, 114);УП-00076964;00A425B7-EC81-11E4-8321-005056A00499;680042, Хабаровский край, Хабаровск г, Шелеста ул, дом № 114
725;"Вотенева Л.В.ИП,ТЦ""Ярмарка вкуса""Отдел бакалея (Хабаровск г, Яшина ул, дом 40)";УП-00076505;4D2318D9-E119-11E1-A3FC-F46D04E31E4B;680011, Хабаровский край, Хабаровск г, Яшина ул, дом № 40
727;"Ткачев А.В. ИП, ""Пенные напитки"" (Хабаровск г, Воронежская ул, 19)";УП-00078771;0FBCF98B-9D3D-11E5-80CF-44A84229F6DF;680000, Хабаровский край, Хабаровск г, Воронежская ул, дом № 19
734;Супермаг ООО, Уссурийский б-р 31;УП-00076039;62DEBFC8-DFB4-11E3-A044-001E675D2989;680000, Хабаровский край, Хабаровск г, Уссурийский б-р, дом № 31
744;Кашеварова В.М.ИП Кондитерский отдел (Хабаровск г, Льва Толстого ул, дом19,место 1061);УП-00108424;169154C0-8348-11E9-810B-44A8422A0502;680000, Хабаровский край, Хабаровск г, Льва Толстого ул, дом № 19,место 1061
745;"Цэруш Е.В.ИП ""Кондитерский отдел"" ( Хабаровск г, Ульяновская ул, дом197, корпус 3, помещение 10)";УП-00098329;37F4910C-15E6-11E8-80F2-44A8422A0502;680041, Хабаровский край, Хабаровск г, Ульяновская ул, дом № 197, корпус 3, помещение 10
755;ООО «Квант» Магазин «Минимаркет» №102 РАЗ ДВА, 680023, Хабаровский край, г. Хабаровск, ул. Краснореч;УП-00094645;F7FF63FD-9695-11E7-80E7-44A8422A0503;680023, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 100, помещение 1
756;"МАЭСТРО ООО Магазин ""Пеликан""(Хабаровск г, Карла Маркса ул, дом 91)";УП-00092412;DFA46D80-558E-11E7-80E1-44A8422A0503;680031, Хабаровский край, Хабаровск г, Карла Маркса ул, дом № 91
757;"НОРД ОООМагазин ""Пеликан""(Хабаровск г, профессора Даниловского М.П. ул, дом  6Б)";УП-00093221;664A6EFD-685D-11E7-80E4-44A8422A0503;680054, Хабаровский край, Хабаровск г, профессора Даниловского М.П. ул, дом № 6Б
767;"Новоторг ТК ООО, магазин ""Бонус"" (Хабаровск г, Некрасова ул, 70)";УП-00076274;A6B4168B-4CF0-11E3-BF51-001E670756FD;680021, Хабаровский край, Хабаровск г, Некрасова ул, дом № 70
768;Маркет Ф ООО, Шеронова ул, 133;УП-00077668;A065BAA7-2B5C-11E5-85B1-005056A00499;680038, Хабаровский край, Хабаровск г, Шеронова ул, дом № 133
769;Воронин К.В.ИП,(Воронежская ул, д. 51);УП-00077600;5591452E-2B5B-11E5-85B1-005056A00499;680000, Хабаровский край, Хабаровск г, Воронежская ул, дом № 51
773;"Новоторг-ДВ ООО Магазин ""Максим"" (Хабаровск г, Муравьева-Амурского ул, дом 26)";УП-00092089;8E02F989-49AF-11E7-80E0-44A8422A0503;680000, Хабаровский край, Хабаровск г, Муравьева-Амурского ул, дом № 26
776;Восточное ОООАмурский б-р, 23;УП-00080820;EA73DCB7-3E2D-11E4-908C-001E675D2989;680000, Хабаровский край, Хабаровск г, Амурский б-р, дом № 23
777;Северное ООО, 70 лет Октября кв-л 11;УП-00080904;BD20763C-7560-11E2-B329-001E670756FD;680025, Хабаровский край, Хабаровск г, 70-летия Октября кв-л, дом № 11
779;Луссо ООО, Демьяна-Бедного_25;УП-00080987;33B1B922-90F2-11E1-BF75-F46D04E31E4B;680009, Хабаровский край, Хабаровск г, Демьяна Бедного ул, дом № 25
780;"Дубинин В.Г. ИП Дискаунтер ""АМБА"" (Хабаровск г, Краснореченская ул, дом 94)";УП-00087331;C9AA9B93-59ED-11E6-80D0-44A8422A0503;680023, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 94
781;Восточное ОООАвтобусная ул, 4;УП-00080819;C960E1D7-3E2D-11E4-908C-001E675D2989;680041, Хабаровский край, Хабаровск г, Автобусная ул, дом № 4
784;Западное ОООМорозова Павла Леонтьевича ул, 94, а;УП-00080822;F6B99FC9-3ED1-11E4-908C-001E675D2989;680000, Хабаровский край, Хабаровск г, Морозова Павла Леонтьевича ул, дом № 94, корпус а
786;Маркет Ф ООО (Хабаровск г, Кирпичный пер, дом 4А);УП-00080727;A065BA98-2B5C-11E5-85B1-005056A00499;680031, Хабаровский край, Хабаровск г, Кирпичный пер, дом № 4А
805;"ПЕРМАНЕНТ ООО Магазин""Продукты""(Хабаровск г, Амурский б-р, дом 55)";УП-00107686;712E3639-6242-11E9-810B-44A8422A0502;680021, Хабаровский край, Хабаровск г, Амурский б-р, дом № 55
806;"Скудина А.В. ИП ТЦ ""Спартак"" (Хабаровск г, Воровского ул, дом 23)";УП-00104581;AB894454-DCD0-11E8-8107-44A8422A0503;680052, Хабаровский край, Хабаровск г, Воровского ул, дом № 23
813;"Столица-Восток Плюс ООО Магазин ""Азбука Вкуса"" (Хабаровск г, Руднева ул, дом 84а)";УП-00089274;C1A597FC-B120-11E6-80D6-44A8422A0503;680018, Хабаровский край, Хабаровск г, Руднева ул, дом № 84, корпус а
814;Корзинка ООО, (Вино-Водка) (Хабаровск г, Инский пер,13);УП-00084220;D9BD5B5A-0A8F-11E6-80D9-44A8421C2298;680007, Хабаровский край, Хабаровск г, Инский пер, дом № 13 (Вино -водка)
815;"Кульга Т.В. ИП Магазин ""Продукты"" (Хабаровск г, Краснодарская ул, дом 102Б)";УП-00091625;A76E1B68-352A-11E7-80DD-44A8422A0503;680009, Хабаровский край, Хабаровск г, Краснодарская ул, дом № 102, корпус Б
817;"Винлаб АО Магазин ""Винлаб"" (Хабаровск г, Льва Толстого ул, дом 15)";УП-00089439;A2CD0FD9-BAA4-11E6-80D6-44A8422A0503;680000, Хабаровский край, Хабаровск г, Льва Толстого ул, дом № 15
820;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 33 РАЗ ДВА, 680014, Хабаровский, г. Хабаровск, ДОС (Большой Аэро";УП-00094802;407B8E8A-99D1-11E7-80E7-44A8422A0503;680014, Хабаровский край, Хабаровск г, ДОС (Большой Аэродром) кв-л, дом № 28, помещение 1
824;"Савиных ООО магазин ""Продукты"" (Хабаровск г, Синельникова ул, дом № 3)";УП-00078706;730F1250-2B5D-11E5-85B1-005056A00499;680013, Хабаровский край, Хабаровск г, Синельникова ул, дом № 3
830;Игнатенко П. А. ИП (Хабаровск г, Ладожская ул, 25);УП-00079691;03AC6078-2B5C-11E5-85B1-005056A00499;680007, Хабаровский край, Хабаровск г, Ладожская ул, дом № 25
858;Ника + ООО , Клубная ул, д. 20;УП-00061632;3259545E-5970-11E4-908C-001E675D2989;680032, Хабаровский край, Хабаровск г, Клубная ул, дом № 20
859;Шабалина Л.Н. ИП, Суворова_28, м.12;УП-00077750;4C263D3D-2B5E-11E5-85B1-005056A00499;680000, Хабаровский край, Хабаровск г, Суворова ул, дом № 28, корпус место 12
863;"ООО «Квант» Магазин ""Минимаркет"" №107 РАЗ ДВА, 680052, Хабаровский край, г. Хабаровск, ул. Гагарина,";УП-00094651;5C68BE7F-969C-11E7-80E7-44A8422A0503;680052, Хабаровский край, Хабаровск г, Гагарина ул, дом № 8, помещение 1
879;"ООО ""ТОПАЗ"", Магазин «Минимаркет» №35 РАЗ ДВА, 680014, Хабаровский край, г. Хабаровск, Восточное шос";УП-00094803;914FAEA2-99D1-11E7-80E7-44A8422A0503;680014, Хабаровский край, Хабаровск г, Восточное ш, дом № 48, помещение 1
882;"Лазо ООО Магазин ""Продукты"" (Хабаровск г, Лазо ул, дом 30)";УП-00095054;1EB590DF-A278-11E7-80E7-44A8422A0503;680022, Хабаровский край, Хабаровск г, Лазо ул, дом № 30
883;"Бабинец Р.А.ИП""Автобаня""(Хабаровск г, Карла Маркса ул, дом 89, литера 1)";УП-00108468;4A6474E6-85C5-11E9-810B-44A8422A0502;680009, Хабаровский край, Хабаровск г, Карла Маркса ул, дом № 89, литера 1
894;Старовойтова О.Ю. ИП м-н г. Хабаровск , ул. Волочаевская 17;УП-00083729;CFA62FC8-0116-11E6-80D9-44A8421C2298;680007, Хабаровский край, Хабаровск г, Волочаевская ул, дом № 17
895;"Алимамедова Е.А. ИП, Магазин ""Альфа"" (Хабаровск г, Карла Маркса ул, дом 101, пав 1 место 7)";УП-00084187;5C2ABA4F-0842-11E6-80D9-44A8421C2298;680009, Хабаровский край, Хабаровск г, Карла Маркса ул, дом № 101, пав 1 место 7
896;"ГАРАНТ ООО Магазин ""Пеликан"" (Хабаровск г, Ким Ю Чена ул, дом 47)";УП-00093776;98C056E3-7751-11E7-80E4-44A8422A0503;680000, Хабаровский край, Хабаровск г, Ким Ю Чена ул, дом № 47
898;"ВЕСТ ООО Магазин ""Пеликан""(Хабаровск г, Восточное ш, дом  50)";УП-00092432;48F789FF-5651-11E7-80E1-44A8422A0503;680014, Хабаровский край, Хабаровск г, Восточное ш, дом № 50
902;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 21 РАЗ ДВА, 680030, Хабаровский край, г. Хабаровск, ул. Постышев";УП-00094794;24FC21D5-99CE-11E7-80E7-44A8422A0503;680030, Хабаровский край, Хабаровск г, Постышева ул, дом № 16, помещение 1-4,41-42
905;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 14 РАЗ ДВА, 680000, Хабаровский край, г. Хабаровск, ул. Ким Ю Че";УП-00094817;6CDBC4C1-99D5-11E7-80E7-44A8422A0503;680000, Хабаровский край, Хабаровск г, Ким Ю Чена ул, дом № 4
909;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 30 РАЗ ДВА, 680011, Хабаровский край, г. Хабаровск, ул. Брестская, д. № 22, помещение 0 (15-21)";УП-00094800;90958151-99D0-11E7-80E7-44A8422A0503;680011, Хабаровский край, Хабаровск г, Брестская ул, дом № 22, помещение 0 (15-21)
924;ООО «Квант» Магазин «Минимаркет»№ 10 РАЗ ДВА, 680051, Хабаровский край, г.Хабаровск, ул.Суворова, 60;УП-00094629;3DE79613-968A-11E7-80E7-44A8422A0503;680051, Хабаровский край, Хабаровск г, Суворова ул, дом № 60, помещение 1
929;Хансулян М. Л. ИП (Хабаровск г, Краснореченская ул, 117/1);УП-00086408;2B234108-3D02-11E6-80CE-44A8422A0503;Хабаровский край, Хабаровск г, Краснореченская ул, дом № 117/1
933;Ст-Мега ООО Магазин  Столица, Хабаровск г, Льва Толстого ул, 15;УП-00085816;3FD75522-2E05-11E6-80DB-44A8421C2299;680000, Хабаровский край, Хабаровск г, Льва Толстого ул, дом № 15
941;1100 отдел торговли Восточного округа, Призывной пер 1 магазин 2;УП-00079283;6A8EAE83-2309-11E2-B3B7-001E670756FC;680013, Хабаровский край, Хабаровск г, Призывной пер, дом № 1
942;Дубинин В.Г. ИП АМБА (г,Хабаровск, Хабаровская ул, 8);УП-00085424;124EDE7E-261B-11E6-80D9-44A8421C2298;680052, Хабаровский край, Хабаровск г, Хабаровская ул, дом № 8
945;"Машовец В.Д. ИП Магазин ""Пеликан""(Хабаровск г, Ульяновская ул, дом 160)";УП-00092394;A85F9169-556E-11E7-80E1-44A8422A0503;680041, Хабаровский край, Хабаровск г, Ульяновская ул, дом № 160
949;Весна ООО  Хабаровск г, Краснореченская ул, дом № 8;УП-00077091;3D753C2E-2B5B-11E5-85B1-005056A00499;680000, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 8
969;"Тижен ООО Минимаркет ""Дежурный""(Хабаровск г, Кочнева ул, дом  5,корпус б)";УП-00094142;72E3D706-862C-11E7-80E6-44A8422A0503;680031, Хабаровский край, Хабаровск г, Кочнева ул, дом № 5,корпус б
972;Ткачев А.В. ИП Магазин Продукты (Воронежская ул, дом 49, корпус 3);УП-00094169;9C099F90-86EF-11E7-80E6-44A8422A0503;680022, Хабаровский край, Хабаровск г, Воронежская ул, дом № 49, корпус 3
992;"Новоторг ТК ООО Алкомаркет ""Бонус"" (Хабаровск г, Ленина ул, дом 74)";УП-00088807;F783D048-99C3-11E6-80D5-44A8422A0503;680030, Хабаровский край, Хабаровск г, Ленина ул, дом № 74
995;"Дубинин В.Г. ИП Дискаунтер ""АМБА"" (Хабаровск г, Владивостокская ул, дом 67, помещение 1-28)";УП-00089121;EF3E6997-A7BF-11E6-80D6-44A8422A0503;680021, Хабаровский край, Хабаровск г, Владивостокская ул, дом № 67, помещение 1-28
1000;Ерофей ООО (Хабаровск г, Краснореченская ул, 203);УП-00085165;E95DA925-2145-11E6-80D9-44A8421C2298;680007, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 203
1002;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 25 РАЗ ДВА, 680018, Хабаровский, г. Хабаровск, ул. Кирова, 21, п";УП-00094798;83C454FA-99CF-11E7-80E7-44A8422A0503;680018, Хабаровский край, Хабаровск г, Кирова ул, дом № 21, помещение 1
1020;"ООО ""Венга""  680030, Хабаровский край, г. Хабаровск ул. Шеронова д.3 Пом.I(1-3, 13-19, 21-25), I(1-29), II(1-3,5-19)";УП-00105034;C39DCE84-EC9D-11E8-8107-44A8422A0503;680020, Хабаровский край, Хабаровск г, Шеронова ул, дом № 3, помещение I(1-3, 13-19, 21-25), I(1-29), II(1-3,5-19)
1021;"ООО ""Венга""  680045, Хабаровский край, г.   Хабаровск, ул. Космическая д. 15/1";УП-00105030;A0113979-EC98-11E8-8107-44A8422A0503;680045, Хабаровский край, Хабаровск г, Космическая ул, дом № 15
1038;"Партнер ДВ ООО Магазин ""Караван"" (Хабаровск г, Карла Маркса ул, дом № 143Е)";УП-00090211;644838FF-E84E-11E6-80D6-44A8422A0503;680031, Хабаровский край, Хабаровск г, Карла Маркса ул, дом № 143Е
1040;"КОНФЕТИ ООО Магазин ""Пеликан""(Хабаровск г, Тихоокеанская ул, дом 191)";УП-00092400;A0BE6508-5576-11E7-80E1-44A8422A0503;680033, Хабаровский край, Хабаровск г, Тихоокеанская ул, дом № 191
1054;"Супермаг ООО Магазин ""Продукты""(Хабаровск г, Краснодарская ул, дом 25А)";УП-00098817;CDBED29C-27FB-11E8-80FD-44A8422A0502;680009, Хабаровский край, Хабаровск г, Краснодарская ул, дом № 25А
1060;"ООО «Квант»  Магазин ""Минимаркет"" №51, 680009, Хабаровский край, Хабаровск г, Кола Бельды ул, дом № 7, помещение 1,13-23, расположенные на 1 этаже";УП-00105254;9CD64BC9-F37C-11E8-8107-44A8422A0503;680009, Хабаровский край, Хабаровск г, Кола Бельды ул, дом № 7, помещение 1,13-23, расположенные на 1 этаже
1075;Обособленное подразделение ООО «Квант», Магазин «Минимаркет» № 49, 680030 Хабаровский край, г.Хабаро;УП-00097030;E502B1F2-DE04-11E7-80EB-44A8422A0503;680030, Хабаровский край, Хабаровск г, Шеронова ул, дом № 6, комната 6-17
1077;ООО «Квант», Магазин «Минимаркет» № 48 680020 Хабаровский край, г. Хабаровск,  Блюхера ул, дом № 1Б;УП-00097029;6CEEDB49-DE04-11E7-80EB-44A8422A0503;680020, Хабаровский край, Хабаровск г, Блюхера ул, дом № 1Б, помещение 1-12
1078;"ДОНСКОЙ ООО Магазин""Пеликан""(Хабаровск г, Донской пер, дом 5)";УП-00105005;864C11C0-EC5F-11E8-8107-44A8422A0503;680013, Хабаровский край, Хабаровск г, Донской пер, дом № 5
1079;"Дары края ООО, Магазин ""Продукты"" ()";УП-00094866;639C16C2-9C2F-11E7-80E7-44A8422A0503;680013, Хабаровский край, Хабаровск г, Ленина ул, дом № 85
1095;Аура ООО (Хабаровск г, Вологодская ул, 28);УП-00080994;622FBB3F-90F2-11E1-BF75-F46D04E31E4B;680015, Хабаровский край, Хабаровск г, Вологодская ул, дом № 28
1114;Обособленное подразделение ООО «Альва» 680000, Хабаровский край, г.   Хабаровск, ул. Льва Толстого д.19 здание «Крытый рынок», литер А-А4;УП-00105028;6C9144EF-EC95-11E8-8107-44A8422A0503;680000, Хабаровский край, Хабаровск г, Льва Толстого ул, дом № 19, литера А-А4
1124;Богомол ООО, Путевая_12 в;УП-00080998;6FA42C21-90F2-11E1-BF75-F46D04E31E4B;680045, Хабаровский край, Хабаровск г, Путевая ул, дом № 12, корпус в, кв. 106
1129;ООО «Альва» 680009, Хабаровский край, г. Хабаровск, ул. Кола Бельды 6;УП-00105418;5EE90208-F923-11E8-8107-44A8422A0503;680009, Хабаровский край, Хабаровск г, Кола Бельды ул, дом № 6
1136;"Хаб-Маркет ООО Алкомаркет ""Столица"" (Хабаровск г, Кубяка ул, дом 9)";УП-00099306;E35FB009-3B99-11E8-80FD-44A8422A0502;680007, Хабаровский край, Хабаровск г, Кубяка ул, дом № 9
1141;Дилан (Хабаровск г, Краснореченская ул, 169А);УП-00091803;711C18BF-3C2A-11E7-80DF-44A8422A0503;680023, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 169А
1142;"ПЕРВЫЙ ООО Магазин ""Пеликан""(Хабаровск г, Владивостокская ул, дом 61)";УП-00092409;B63C5039-5589-11E7-80E1-44A8422A0503;680021, Хабаровский край, Хабаровск г, Владивостокская ул, дом № 61
1144;"Маркет Фемили ООО Магазин ""Продукты"" (Хабаровск г, Авроры ул, дом 14)";УП-00091234;A0932085-2014-11E7-80DA-44A8422A0503;680018, Хабаровский край, Хабаровск г, Авроры ул, дом № 14
1155;Обособленное подразделение ООО «Альва» 680022, Хабаровский край, г. Хабаровск, Двинская ул, дом № 2;УП-00104553;9A53BEE2-DC0E-11E8-8107-44A8422A0503;680023, Хабаровский край, Хабаровск г, Двинская ул, дом № 2
1168;Новое поколение ООО, Минимаркет (Хабаровск г, Молодежная ул, дом 23, помещение 1);УП-00096304;92A72E30-C842-11E7-80EB-44A8422A0503;680052, Хабаровский край, Хабаровск г, Молодежная ул, дом № 23, помещение 1
1179;"ЛАЙМ ООО Магазин ""Пеликан"" (Хабаровск г, Комсомольская ул, дом 41, офис 14)";УП-00108016;614AA5EA-72C0-11E9-810B-44A8422A0502;680000, Хабаровский край, Хабаровск г, Комсомольская ул, дом № 41, офис 14
1181;"МЕЛАНЖ ООО Магазин ""Пеликан"" (Хабаровск г, Тихоокеанская ул, дом 218В)";УП-00108021;AAC296AF-72D6-11E9-810B-44A8422A0502;680033, Хабаровский край, Хабаровск г, Тихоокеанская ул, дом № 218В
1193;"Мясомолторг ДВ ООО Магазин ""Продукты"" (Хабаровск г, Урицкого ул, дом 6)";УП-00081040;4CCE0629-90F3-11E1-BF75-F46D04E31E4B;680006, Хабаровский край, Хабаровск г, Урицкого ул, дом № 6
1194;ОРИЕНТ ЗАО, Ветеран-1, Хабаровск г, Карла Маркса ул, 92;УП-00084941;73CCB734-1BEB-11E6-80D9-44A8421C2298;680000, Хабаровский край, Хабаровск г, Карла Маркса ул, дом № 92
1196;ОКВАДИКА ООО (Хабаровск г,Выборгская ул, дом 73, литера А);УП-00083990;0E7033BE-05D3-11E6-80D9-44A8421C2298;680031, Хабаровский край, Хабаровск г, Выборгская ул, дом № 73, литера А
1197;"Ерофей ООО, Панфиловцев ул, 14 (м-н ""МТК Индустриальный"")";УП-00084954;0FD25084-1BEF-11E6-80D9-44A8421C2298;680051, Хабаровский край, Хабаровск г, Панфиловцев ул, дом № 14
1204;"КИВИ ООО Магазин ""Пеликан"" (Хабаровск г, Льва Толстого ул, дом 34, офис 17)";УП-00108018;17878776-72CB-11E9-810B-44A8422A0502;680038, Хабаровский край, Хабаровск г, Льва Толстого ул, дом № 34, офис 17
1205;"Капырин Е.Л. ИП Магазин ""Солнышко"" (Хабаровск г, Ворошилова ул, дом 5А)";УП-00098684;F12DA513-2117-11E8-80FD-44A8422A0502;680051, Хабаровский край, Хабаровск г, Ворошилова ул, дом № 5А
1206;"Нестеров С.В. ИП Магазин ""Продукты"" (Хабаровск г, Ворошилова ул, дом 13)";УП-00111189;4EAAC2C5-D9D4-11E9-810B-44A8421C2299;680051, Хабаровский край, Хабаровск г, Ворошилова ул, дом № 13
1208;"ФЛАМИНГО ООО Магазин ""Пеликан""(Хабаровск г, Большая ул, дом 87Д, офис 22)";УП-00108012;D7E13354-7163-11E9-810B-44A8422A0502;680022, Хабаровский край, Хабаровск г, Большая ул, дом № 87Д, офис 22
1214;Фишер В.О. ИП (Хабаровск г, Промывочная ул, 13);УП-00079196;1C1D7A29-2B5E-11E5-85B1-005056A00499;680032, Хабаровский край, Хабаровск г, Промывочная ул, дом № 13
1247;"Задарма ООО Минимаркет ""ЁЁ"" (Хабаровск г, Тихоокеанская ул, дом 128)";УП-00092358;76ADAD4D-5488-11E7-80E1-44A8422A0503;680042, Хабаровский край, Хабаровск г, Тихоокеанская ул, дом № 128
1258;"ООО ""Венга""  680009, Хабаровский край, г.   Хабаровск, ул. Карла Маркса, 91 (ЛитерА), пом. I (2), II (1)";УП-00105033;EDE2AFB2-EC9A-11E8-8107-44A8422A0503;680009, Хабаровский край, Хабаровск г, Карла Маркса ул, дом № 91, литера А, помещение 1,2
1265;Щербань Е.А. ИП, Центр.рынок, м.1009;УП-00080975;250A3588-90F2-11E1-BF75-F46D04E31E4B;680021, Хабаровский край, Хабаровск г, Льва Толстого ул, дом № 19
1270;"Хаб-Маркет ООО Алкомаркет ""Столица"" (Хабаровск г, Ленина ул, дом 51)";УП-00093275;124072E7-6B96-11E7-80E4-44A8422A0503;680030, Хабаровский край, Хабаровск г, Ленина ул, дом № 51
1285;"Трофимчук П.Г. ИП Рынок ""Судоверфь""( Хабаровск г, Калараша ул, дом 1,пав.3 место 15)";УП-00093983;7C996BB3-80A9-11E7-80E5-44A8422A0503;680045, Хабаровский край, Хабаровск г, Калараша ул, дом № 1,пав.3 место 15
1290;Атлант ООО (Хабаровск г, Березовка пгт, Юбилейная ул, 12);УП-00078403;E362711E-2B5A-11E5-85B1-005056A00499;680025, Хабаровский край, Хабаровск г, Березовка пгт, Юбилейная ул, дом № 12
1291;Костикова Г.М. ИП,Воровского ул 21 (Бакалея);УП-00078922;4BDAA260-2B5C-11E5-85B1-005056A00499;680052, Хабаровский край, Хабаровск г, Воровского ул 21
1308;"Комарова Е.С. ИП павильон ""Овощи Фрукты"" (Хабаровск г, Подгаева ул, дом 1)";УП-00089777;F7A6397A-CBDC-11E6-80D6-44A8422A0503;680000, Хабаровский край, Хабаровск г, Подгаева ул, дом № 1
1313;"Ним Е.И.ИП Магазин""Дары края""(Хабаровск г, Ленина ул, дом 85)";УП-00109644;C9FF3566-A3AE-11E9-810B-44A8422A0502;680013, Хабаровский край, Хабаровск г, Ленина ул, дом № 85
1327;Фильчакова Лариса Юрьевна (Хабаровск г, Карла Маркса ул, д. 133, кв. 94);УП-00096915;D2055EDD-D98F-11E7-80EB-44A8422A0503;680031, Хабаровский край, Хабаровск г, Карла Маркса ул, дом № 133, квартира 94
1346;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 36 РАЗ ДВА, 680021, Хабаровский край, г. Хабаровск, ул. Серышева";УП-00094804;DAF56889-99D1-11E7-80E7-44A8422A0503;680021, Хабаровский край, Хабаровск г, Серышева ул, дом № 88
1357;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 31 РАЗ ДВА, 680041, Хабаровский край г. Хабаровск, ул. Мате Залк";УП-00094801;ED9ADB13-99D0-11E7-80E7-44A8422A0503;680041, Хабаровский край, Хабаровск г, Мате Залки ул, дом № 29, литера А, А1
1369;Кристалл ООО, Хабаровск г, Иртышский пер, дом № 10;УП-00077651;E1E1C931-90F2-11E1-BF75-F46D04E31E4B;680006, Хабаровский край, Хабаровск г, Иртышский пер, дом № 10
1394;ООО «Альва» 680051, Хабаровский край, Хабаровск г, Панфиловцев ул, дом № 51;УП-00106185;AEF9099B-22CC-11E9-8107-44A8422A0503;680051, Хабаровский край, Хабаровск г, Панфиловцев ул, дом № 51
1423;"Топчан Т.В. ИП Магазин ""Продукты"" (Хабаровск г, Большая ул, дом 122, ост Степная)";УП-00094051;0C594D8A-8241-11E7-80E5-44A8422A0503;680022, Хабаровский край, Хабаровск г, Большая ул, дом № 122
1424;"Дубинин В.Г. ИП Дискаунтер ""АМБА"" (Хабаровск г, Серышева ул, дом 74)";УП-00094154;6AB4E8F3-863A-11E7-80E6-44A8422A0503;680021, Хабаровский край, Хабаровск г, Серышева ул, дом № 74
1437;"Тимакова Л.В. ИП Магазин ""Продукты"" (Хабаровск г, 60-летия Октября пр-кт, дом 148)";УП-00101165;E79152DE-79D1-11E8-80FE-44A8422A0502;680014, Хабаровский край, Хабаровск г, 60-летия Октября пр-кт, дом № 148
1439;Дилан (Хабаровск г, ДОС (Большой Аэродром) кв-л, дом 40);УП-00077119;A97C21AC-2B5B-11E5-85B1-005056A00499;680014, Хабаровский край, Хабаровск г, ДОС (Большой Аэродром) кв-л, дом № 40
1442;"Рэди-трейд ООО Магазин ""Продукты"" (Хабаровск г, Промывочная ул, дом 4а)";УП-00076742;312F5CFF-AE6D-11E3-AB99-001E675D2989;680032, Хабаровский край, Хабаровск г, Промывочная ул, дом № 4А
1445;"КОНДОР ООО Магазин ""Продукты"" (Хабаровск г, Панькова ул, дом 24)";УП-00077167;C152C97E-E119-11E1-A3FC-F46D04E31E4B;680021, Хабаровский край, Хабаровск г, Панькова ул, дом № 24
1446;ЛИРА ООО, (Хабаровск г, Индустриальная ул, дом 5);УП-00076630;BC82D928-07CE-11E4-8036-001E675D2989;680006, Хабаровский край, Хабаровск г, Индустриальная ул, дом № 5
1456;"Фортуна ООО Магазин ""Фортуна"" (Хабаровск г, Санитарная ул, дом 7)";УП-00087029;B52F9B36-4F18-11E6-80D0-44A8422A0503;680031, Хабаровский край, Хабаровск г, Санитарная ул, дом № 7
1457;ТОРИ-МАРКЕТ ООО (Хабаровск г, Пилотов пер, 10);УП-00080935;58956297-EC95-11E4-BA2F-001E675D2989;680031, Хабаровский край, Хабаровск г, Пилотов пер, дом № 10
1481;Ивеко ООО (Хабаровск г, Кирова ул, дом 4);УП-00076576;C321CC12-90F2-11E1-BF75-F46D04E31E4B;680018, Хабаровский край, Хабаровск г, Кирова ул, дом № 4
1483;Булаева М.В, ИП Магазин Продукты(Хабаровск г, Тихоокеанская ул, дом 197);УП-00034372;768F30D6-90F2-11E1-BF75-F46D04E31E4B;680054, Хабаровский край, Хабаровск г, Тихоокеанская ул, дом № 197
1490;Ника-Трейдинг ООО, Черняховского_9, магазин;УП-00076666;1CCC028B-90F3-11E1-BF75-F46D04E31E4B;680051, Хабаровский край, Хабаровск г, Черняховского ул, дом № 9
1493;Статус ООО, Черняховского_11;УП-00077723;6456D234-90F3-11E1-BF75-F46D04E31E4B;680051, Хабаровский край, Хабаровск г, Черняховского ул, дом № 11
